"Symbol: CLK26",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2023-02-07,65.07,65.07,65.07,65.07,0,,26
2023-02-08,65.73,65.73,65.73,65.73,0.6600000000000108,,26
2023-02-09,65.47,65.47,65.47,65.47,-0.2600000000000051,,26
2023-02-10,66.12,66.12,66.12,66.12,0.6500000000000057,,26
2023-02-13,66.79,66.79,66.79,66.79,0.6700000000000017,,26
2023-02-14,66.71,66.71,66.71,66.71,-0.0800000000000125,,26
2023-02-15,66.93,66.93,66.93,66.93,0.22000000000001307,,26
2023-02-16,67.01,67.01,67.01,67.01,0.0799999999999983,,26
2023-02-17,65.99,65.99,65.99,65.99,-1.0200000000000102,,26
2023-02-21,66.19,66.19,66.19,66.19,0.20000000000000284,,26
2023-02-22,65.72,65.72,65.72,65.72,-0.46999999999999886,,26
2023-02-23,65.89,65.89,65.89,65.89,0.1700000000000017,,26
2023-02-24,65.68,65.68,65.68,65.68,-0.20999999999999375,,26
2023-02-27,64.9,64.9,64.9,64.9,-0.7800000000000011,,26
2023-02-28,64.63,64.63,64.63,64.63,-0.27000000000001023,,26
2023-03-01,65,65,65,65,0.37000000000000455,,26
2023-03-02,65.39,65.39,65.39,65.39,0.39000000000000057,,26
2023-03-03,66.38,66.38,66.38,66.38,0.9899999999999949,,26
2023-03-06,66.6,66.6,66.6,66.6,0.21999999999999886,,26
2023-03-07,65.17,65.17,65.17,65.17,-1.4299999999999926,,26
2023-03-08,64.92,64.92,64.92,64.92,-0.25,,26
2023-03-09,64.6,64.6,64.6,64.6,-0.3200000000000074,,26
2023-03-10,64.82,64.82,64.82,64.82,0.21999999999999886,,26
2023-03-13,64.17,64.17,64.17,64.17,-0.6499999999999915,,26
2023-03-14,63.12,63.12,63.12,63.12,-1.0500000000000043,,26
2023-03-15,61.69,61.69,61.69,61.69,-1.4299999999999997,,26
2023-03-16,62.36,62.36,62.36,62.36,0.6700000000000017,,26
2023-03-17,62.22,62.22,62.22,62.22,-0.14000000000000057,,26
2023-03-20,62.62,62.62,62.62,62.62,0.3999999999999986,,26
2023-03-21,62.88,62.88,62.88,62.88,0.2600000000000051,,26
2023-03-22,63.07,63.07,63.07,63.07,0.18999999999999773,,26
2023-03-23,63.02,63.02,63.02,63.02,-0.04999999999999716,,26
2023-03-24,62.97,62.97,62.97,62.97,-0.05000000000000426,,26
2023-03-27,64.31,64.31,64.31,64.31,1.3400000000000034,,26
2023-03-28,64.44,64.44,64.44,64.44,0.12999999999999545,,26
2023-03-29,64.41,64.41,64.41,64.41,-0.030000000000001137,,26
2023-03-30,64.41,64.41,64.41,64.41,0,,26
2023-03-31,64.64,64.64,64.64,64.64,0.23000000000000398,,26
2023-04-03,65.13,65.13,65.13,65.13,0.4899999999999949,,26
2023-04-04,65.2,65.2,65.2,65.2,0.07000000000000739,,26
2023-04-05,65.33,65.33,65.33,65.33,0.12999999999999545,,26
2023-04-06,65.2,65.2,65.2,65.2,-0.12999999999999545,,26
2023-04-10,64.97,64.97,64.97,64.97,-0.23000000000000398,,26
2023-04-11,65.63,65.63,65.63,65.63,0.6599999999999966,,26
2023-04-12,66.39,66.39,66.39,66.39,0.7600000000000051,,26
2023-04-13,66.39,66.39,66.39,66.39,0,,26
2023-04-14,66.62,66.62,66.62,66.62,0.23000000000000398,,26
2023-04-17,66.36,66.36,66.36,66.36,-0.2600000000000051,,26
2023-04-18,66.71,66.71,66.71,66.71,0.3499999999999943,,26
2023-04-19,66.05,66.05,66.05,66.05,-0.6599999999999966,,26
2023-04-20,65.17,65.17,65.17,65.17,-0.8799999999999955,,26
2023-04-21,66.46,66.46,66.46,66.46,1.289999999999992,,26
2023-04-24,66.9,66.9,66.9,66.9,0.44000000000001194,,26
2023-04-25,65.52,65.52,65.52,65.52,-1.3800000000000097,,26
2023-04-26,64.94,64.94,64.94,64.94,-0.5799999999999983,,26
2023-04-27,64.64,64.64,64.64,64.64,-0.29999999999999716,,26
2023-04-28,65.98,65.98,65.98,65.98,1.3400000000000034,,26
2023-05-01,65.18,65.18,65.18,65.18,-0.7999999999999972,,26
2023-05-02,63.79,63.79,63.79,63.79,-1.3900000000000077,,26
2023-05-03,62.44,62.44,62.44,62.44,-1.3500000000000014,,26
2023-05-04,61.53,61.53,61.53,61.53,-0.9099999999999966,,26
2023-05-05,62.94,62.94,62.94,62.94,1.4099999999999966,,26
