"Symbol: CLV25",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2023-02-07,67.08,67.08,67.08,67.08,0,,1175
2023-02-08,67.77,67.77,67.77,67.77,0.6899999999999977,,1175
2023-02-09,67.46,67.46,67.46,67.46,-0.3100000000000023,,1175
2023-02-10,68.21,68.21,68.21,68.21,0.75,6,1175
2023-02-13,68.9,68.9,68.9,68.9,0.6900000000000119,,1175
2023-02-14,68.74,68.74,68.74,68.74,-0.1600000000000108,,1175
2023-02-15,68.87,68.87,68.87,68.87,0.13000000000000966,,1175
2023-02-16,68.92,68.92,68.92,68.92,0.04999999999999716,,1175
2023-02-17,67.75,67.75,67.75,67.75,-1.1700000000000017,,1175
2023-02-21,67.89,67.89,67.89,67.89,0.14000000000000057,,1175
2023-02-22,67.2,67.2,67.2,67.2,-0.6899999999999977,,1175
2023-02-23,67.57,67.57,67.57,67.57,0.36999999999999034,,1175
2023-02-24,67.47,67.47,67.47,67.47,-0.09999999999999432,,1175
2023-02-27,66.72,66.72,66.72,66.72,-0.75,,1175
2023-02-28,66.63,66.63,66.63,66.63,-0.09000000000000341,,1175
2023-03-01,67.05,67.05,67.05,67.05,0.4200000000000017,,1175
2023-03-02,67.52,67.52,67.52,67.52,0.46999999999999886,,1175
2023-03-03,68.59,68.59,68.59,68.59,1.0700000000000074,,1175
2023-03-06,68.83,68.83,68.83,68.83,0.23999999999999488,,1175
2023-03-07,67.17,67.17,67.17,67.17,-1.6599999999999966,,1175
2023-03-08,66.81,66.81,66.81,66.81,-0.35999999999999943,,1175
2023-03-09,66.37,66.37,66.37,66.37,-0.4399999999999977,,1175
2023-03-10,66.69,66.69,66.69,66.69,0.3199999999999932,,1175
2023-03-13,65.88,65.88,65.88,65.88,-0.8100000000000023,,1175
2023-03-14,64.62,64.62,64.62,64.62,-1.259999999999991,,1175
2023-03-15,62.7,62.7,62.7,62.7,-1.9200000000000017,,1175
2023-03-16,63.43,63.43,63.43,63.43,0.7299999999999969,100,1275
2023-03-17,63.1,63.1,63.1,63.1,-0.3299999999999983,,1275
2023-03-20,63.55,63.55,63.55,63.55,0.44999999999999574,100,1375
2023-03-21,63.99,63.99,63.99,63.99,0.44000000000000483,,1375
2023-03-22,64.28,64.28,64.28,64.28,0.28999999999999915,,1375
2023-03-23,64.13,64.13,64.13,64.13,-0.15000000000000568,,1375
2023-03-24,63.99,63.99,63.99,63.99,-0.13999999999999346,,1375
2023-03-27,65.7,65.7,65.7,65.7,1.7100000000000009,,1375
2023-03-28,65.88,65.88,65.88,65.88,0.1799999999999926,35,1395
2023-03-29,65.75,65.75,65.75,65.75,-0.12999999999999545,,1395
2023-03-30,66.04,66.04,66.04,66.04,0.29000000000000625,,1395
2023-03-31,66.41,66.41,66.41,66.41,0.36999999999999034,,1395
2023-04-03,67.27,67.27,67.27,67.27,0.8599999999999994,19,1414
2023-04-04,67.34,67.34,67.34,67.34,0.07000000000000739,,1414
