"Symbol: $OVX",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2020-07-29,41.09,44.8,36.58,39.58,0,,
2020-07-30,40.44,43.31,39.99,42.06,2.480000000000004,,
2020-07-31,41.93,45.36,40.31,44.43,2.3699999999999974,,
2020-08-03,44.43,44.43,39.17,41.56,-2.8699999999999974,,
2020-08-04,41.56,43.18,39.89,40.28,-1.2800000000000011,,
2020-08-05,40.1,40.5,37,37.12,-3.1600000000000037,,
2020-08-06,37.12,38.39,36.93,37.59,0.47000000000000597,,
2020-08-07,37.59,39.51,35.44,37.43,-0.1600000000000037,,
2020-08-10,39.06,39.25,35.74,35.74,-1.6899999999999977,,
2020-08-11,35.74,37.84,33.77,37.5,1.759999999999998,,
2020-08-12,37.5,37.5,31.76,34.74,-2.759999999999998,,
2020-08-13,34.74,34.93,32.26,34.87,0.12999999999999545,,
2020-08-14,34.87,35.3,33.12,35.1,0.23000000000000398,,
2020-08-17,35.1,40.78,32.18,32.43,-2.6700000000000017,,
2020-08-18,32.43,36.8,30.53,31.7,-0.7300000000000004,,
2020-08-19,31.7,33.16,30.26,32.85,1.1500000000000021,,
2020-08-20,32.85,36.29,32.43,32.83,-0.020000000000003126,,
2020-08-21,32.83,35.02,32.26,33.68,0.8500000000000014,,
2020-08-24,33.68,33.79,32.17,32.25,-1.4299999999999997,,
2020-08-25,32.25,33.24,31.48,33.03,0.7800000000000011,,
2020-08-26,32.81,33.79,31.66,33.79,0.759999999999998,,
2020-08-27,31.87,34.45,31.87,33.74,-0.04999999999999716,,
2020-08-28,32.06,33.46,31.35,32.06,-1.6799999999999997,,
2020-08-31,32.06,32.85,31.58,32.59,0.5300000000000011,,
2020-09-01,32.59,34.23,31.25,31.74,-0.850000000000005,,
2020-09-02,31.37,36.97,31.06,35.49,3.7500000000000036,,
2020-09-03,35.49,42.63,34.17,41.28,5.789999999999999,,
2020-09-04,36.05,45.19,36.05,44.02,2.740000000000002,,
2020-09-08,45.53,59.25,45.53,55.9,11.879999999999995,,
2020-09-09,50.46,52.41,48.51,49.42,-6.479999999999997,,
2020-09-10,46.73,52.16,45.38,52.16,2.739999999999995,,
2020-09-11,52.16,52.2,45.54,50.13,-2.029999999999994,,
2020-09-14,50.13,50.44,48.13,49.41,-0.720000000000006,,
2020-09-15,45.13,46.92,44.97,45.19,-4.219999999999999,,
2020-09-16,45.19,45.19,40.8,41.13,-4.059999999999995,,
2020-09-17,41.13,41.44,36.69,38.73,-2.4000000000000057,,
2020-09-18,38.73,39.55,36.35,39.07,0.3400000000000034,,
2020-09-21,39.07,44.75,39.07,42.89,3.8200000000000003,,
2020-09-22,38.75,42.63,38.75,41.28,-1.6099999999999994,,
2020-09-23,38.06,44.7,38.06,44.64,3.3599999999999994,,
2020-09-24,44.64,44.64,39.12,42.88,-1.759999999999998,,
2020-09-25,38.65,41.98,38.65,41.41,-1.470000000000006,,
2020-09-28,40.47,41.98,40.15,40.64,-0.769999999999996,,
2020-09-29,40.63,49.82,38.26,46.13,5.490000000000002,,
2020-09-30,46.13,46.13,42.35,44,-2.1300000000000026,,
2020-10-01,44,52.73,43.07,49.35,5.350000000000001,,
2020-10-02,55.38,56.19,50.42,55.51,6.159999999999997,,
2020-10-05,55.51,55.51,48.97,49.44,-6.07,,
2020-10-06,49.44,49.44,44.64,46.6,-2.8399999999999963,,
2020-10-07,45.85,47.26,45.46,45.5,-1.1000000000000014,,
2020-10-08,45.5,45.5,38.63,41.15,-4.350000000000001,,
2020-10-09,41.15,42.55,40.57,42.38,1.230000000000004,,
2020-10-12,42.38,45.56,41.69,44.04,1.6599999999999966,,
2020-10-13,43.06,46.97,42.55,46.07,2.030000000000001,,
2020-10-14,46.07,46.07,41.71,43.53,-2.539999999999999,,
2020-10-15,45.59,46.02,43.39,43.83,0.29999999999999716,,
2020-10-16,44.84,48.79,43.22,44.06,0.23000000000000398,,
2020-10-19,44.06,44.3,42.31,43.35,-0.7100000000000009,,
2020-10-20,43.35,44.21,42,43.85,0.5,,
2020-10-21,43.85,48.37,43.85,47.58,3.729999999999997,,
2020-10-22,47.58,47.58,44.94,46.61,-0.9699999999999989,,
2020-10-23,46.61,47.01,44.32,46.32,-0.28999999999999915,,
2020-10-26,46.32,53.48,46.32,53.05,6.729999999999997,,
2020-10-27,53.05,53.05,48.84,50.22,-2.8299999999999983,,
2020-10-28,50.22,59.84,50.22,59.61,9.39,,
