Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-25,0.14,0.18,0.14,0.18,0.04,+28.57%,5,0
2025-08-22,0.15,0.15,0.14,0.14,-0.01,-6.67%,14,3340
2025-08-21,0.15,0.15,0.15,0.15,0.03,+25.00%,4,3338
2025-08-20,0.12,0.13,0.12,0.12,0.01,+9.09%,36,3342
2025-08-19,0.12,0.13,0.11,0.11,-0.04,-26.67%,137,3350
2025-08-18,0.16,0.16,0.14,0.15,-0.04,-21.05%,38,3372
2025-08-15,0.28,0.28,0.19,0.19,-0.07,-26.92%,68,3372
2025-08-14,0.2,0.26,0.2,0.26,0.1,+62.50%,238,3389
2025-08-13,0.17,0.17,0.14,0.16,-0.02,-11.11%,63,3384
2025-08-12,0.22,0.22,0.17,0.18,-0.06,-25.00%,39,3411
2025-08-11,0.27,0.29,0.24,0.24,-0.05,-17.24%,191,3423
2025-08-08,0.32,0.35,0.29,0.29,-0.05,-14.71%,77,3557
2025-08-07,0.43,0.48,0.34,0.34,-0.1,-22.73%,61,3561
2025-08-06,0.61,0.73,0.41,0.44,-0.14,-24.14%,252,3574
2025-08-05,0.75,0.75,0.58,0.58,-0.27,-31.76%,341,3554
2025-08-04,0.86,0.99,0.79,0.85,-0.32,-27.35%,259,3546
2025-08-01,1.15,1.17,1.15,1.17,-0.33,-22.00%,265,3491
2025-07-31,1.63,1.63,1.47,1.5,-0.25,-14.29%,139,3424
2025-07-30,1.59,1.85,1.55,1.75,0.19,+12.18%,583,3465
2025-07-29,1.02,1.62,1.02,1.56,0.65,+71.43%,71,3363
2025-07-28,0.87,0.91,0.87,0.91,0.29,+46.77%,69,3361
2025-07-25,0.69,0.69,0.62,0.62,-0.07,-10.14%,39,3302
2025-07-24,0.68,0.69,0.61,0.69,0.11,+18.97%,157,3299
2025-07-23,0.58,0.58,0.58,0.58,-0.01,-1.69%,58,3203
2025-07-22,0.61,0.62,0.57,0.59,-0.07,-10.61%,325,3177
2025-07-21,0.62,0.66,0.62,0.66,-0.1,-13.16%,18,3194
2025-07-18,0.96,0.96,0.76,0.76,-0.06,-7.32%,1063,3197
2025-07-17,0.82,0.82,0.82,0.82,0.05,+6.49%,3,2257
2025-07-16,0.77,0.77,0.77,0.77,-0.06,-7.23%,47,2257
2025-07-15,0.83,0.83,0.83,0.83,-0.16,-16.16%,82,2295
2025-07-14,1,1,0.99,0.99,-0.4,-28.78%,54,2296
2025-07-11,1.34,1.39,1.34,1.39,0.46,+49.46%,88,2293
2025-07-10,0.94,0.94,0.93,0.93,-0.26,-21.85%,303,2258
2025-07-09,1.33,1.33,1.19,1.19,-0.1,-7.75%,78,2318
2025-07-08,1.2,1.35,1.2,1.29,0.05,+4.03%,3,2240
2025-07-07,1.24,1.24,1.24,1.24,0.08,+6.90%,139,2239
2025-07-03,1.23,1.23,1.14,1.16,-0.32,-21.62%,183,2122
2025-07-02,0.96,1.48,0.96,1.48,0.59,+66.29%,1,1967
2025-07-01,0.89,0.89,0.89,0.89,-0.01,-1.11%,1,1966
2025-06-30,0.93,0.93,0.9,0.9,-0.12,-11.76%,25,1966
2025-06-27,1.05,1.05,1,1.02,-0.02,-1.92%,203,1941
2025-06-26,1.06,1.06,1.04,1.04,0.03,+2.97%,12,1856
2025-06-25,1,1.11,1,1.01,-0.07,-6.48%,107,1845
2025-06-24,1.08,1.08,1.08,1.08,-1.26,-53.85%,57,1886
2025-06-23,4.92,4.92,2.34,2.34,-2.75,-54.03%,102,1831
2025-06-20,5.44,5.44,4.71,5.09,0,0.00%,263,1920
2025-06-18,5.09,5.09,5.09,5.09,-0.07,-1.36%,4,1982
2025-06-17,3.62,5.16,3.62,5.16,1.86,+56.36%,112,1982
2025-06-16,3.33,3.33,2.47,3.3,-0.29,-8.08%,46,1987
2025-06-13,3.86,3.93,3.08,3.59,1.76,+96.17%,248,1950
2025-06-12,1.74,1.97,1.74,1.83,0.04,+2.23%,137,1963
2025-06-11,1.03,1.79,1.03,1.79,0.89,+98.89%,2329,1956
2025-06-10,0.9,0.9,0.9,0.9,-0.02,-2.17%,0,251
2025-06-09,0.92,0.92,0.92,0.92,0.08,+9.52%,0,251
2025-06-06,0.85,0.85,0.84,0.84,0.07,+9.09%,1,251
2025-06-05,0.77,0.77,0.77,0.77,0.04,+5.48%,30,250
2025-06-04,0.73,0.73,0.72,0.73,-0.11,-13.10%,30,250
2025-06-03,0.81,0.84,0.81,0.84,0.08,+10.53%,4,258
2025-06-02,0.78,0.89,0.76,0.76,0.11,+16.92%,71,256
2025-05-30,0.65,0.65,0.65,0.65,-0.05,-7.14%,0,233
2025-05-29,0.71,0.71,0.7,0.7,-0.14,-16.67%,1,233
2025-05-28,0.84,0.84,0.84,0.84,0.01,+1.20%,0,232
2025-05-27,0.83,0.83,0.83,0.83,-0.14,-14.43%,2,232
2025-05-23,0.97,0.97,0.97,0.97,0.05,+5.43%,0,230
2025-05-22,0.92,0.92,0.92,0.92,0.07,+8.24%,0,230
2025-05-21,0.95,0.95,0.85,0.85,0.07,+8.97%,225,230
2025-05-20,0.78,0.78,0.78,0.78,-0.01,-1.27%,0,134
2025-05-19,0.79,0.79,0.79,0.79,-0.02,-2.47%,0,134
2025-05-16,0.81,0.81,0.81,0.81,0.09,+12.50%,0,134
2025-05-15,0.72,0.72,0.72,0.72,-0.18,-20.00%,0,134
2025-05-14,0.9,0.9,0.9,0.9,-0.09,-9.09%,0,134
2025-05-13,0.99,0.99,0.99,0.99,0.19,+23.75%,1,135
2025-05-12,0.8,0.8,0.8,0.8,-0.01,-1.23%,1,135
2025-05-09,0.81,0.81,0.81,0.81,0.04,+5.19%,2,136
2025-05-08,0.77,0.77,0.77,0.77,0.13,+20.31%,0,136
2025-05-07,0.64,0.64,0.64,0.64,-0.13,-16.88%,0,136
2025-05-06,0.77,0.77,0.77,0.77,0.12,+18.46%,1,136
2025-05-05,0.65,0.65,0.65,0.65,-0.16,-19.75%,0,135
2025-05-02,0.83,0.83,0.81,0.81,-0.07,-7.95%,100,135
2025-05-01,0.88,0.88,0.88,0.88,0.06,+7.32%,1,35
2025-04-30,0.82,0.82,0.82,0.82,-0.15,-15.46%,0,34
2025-04-29,0.97,0.97,0.97,0.97,-0.17,-14.91%,2,34
2025-04-28,1.14,1.14,1.14,1.14,-0.12,-9.52%,0,33
2025-04-25,1.21,1.26,1.21,1.26,-0.05,-3.82%,6,33
2025-04-24,1.31,1.31,1.31,1.31,0.09,+7.38%,1,27
2025-04-23,1.22,1.22,1.22,1.22,-0.21,-14.69%,0,27
2025-04-22,1.43,1.43,1.43,1.43,0.2,+16.26%,0,27
2025-04-21,1.23,1.23,1.23,1.23,-0.36,-22.64%,0,27
2025-04-17,1.59,1.59,1.59,1.59,0.45,+39.47%,0,27
2025-04-16,1.14,1.14,1.14,1.14,0.22,+23.91%,0,27
2025-04-15,0.92,0.92,0.92,0.92,-0.12,-11.54%,0,27
2025-04-14,1.04,1.04,1.04,1.04,-0.15,-12.61%,0,27
2025-04-11,1.19,1.19,1.19,1.19,0.23,+23.96%,0,27
2025-04-10,0.96,0.96,0.96,0.96,-0.12,-11.11%,1,27
2025-04-09,1.08,1.08,1.08,1.08,0.14,+14.89%,5,26
2025-04-08,0.94,0.94,0.94,0.94,-0.12,-11.32%,0,26
2025-04-07,1.18,1.18,1.06,1.06,-0.18,-14.52%,10,26
2025-04-04,1.3,1.3,1.24,1.24,-0.6,-32.61%,9,26
2025-04-03,1.84,1.84,1.84,1.84,-1.08,-36.99%,10,21
2025-04-02,2.92,2.92,2.92,2.92,0.12,+4.29%,0,11
2025-04-01,2.8,2.8,2.8,2.8,-0.06,-2.10%,0,11
2025-03-31,2.86,2.86,2.86,2.86,0.57,+24.89%,0,11
2025-03-28,2.29,2.29,2.29,2.29,-0.22,-8.76%,0,11
2025-03-27,2.51,2.51,2.51,2.51,0.06,+2.45%,0,11
2025-03-26,2.45,2.45,2.45,2.45,0.17,+7.46%,0,11
2025-03-25,2.28,2.28,2.28,2.28,-0.06,-2.56%,0,11
2025-03-24,2.34,2.34,2.34,2.34,0.17,+7.83%,0,11
2025-03-21,2.17,2.17,2.17,2.17,-0.08,-3.56%,4,11
2025-03-20,2.03,2.25,2.03,2.25,0.18,+8.70%,10,11
2025-03-19,2.07,2.07,2.07,2.07,0.07,+3.50%,0,2
2025-03-18,2,2,2,2,-0.07,-3.38%,0,2
2025-03-17,2.07,2.07,2.07,2.07,0.17,+8.95%,0,2
2025-03-14,1.9,1.9,1.9,1.9,0.11,+6.15%,0,2
2025-03-13,1.79,1.79,1.79,1.79,-0.22,-10.95%,0,2
2025-03-12,2,2.01,2,2.01,0.27,+15.52%,0,2
2025-03-11,1.74,1.74,1.74,1.74,0.01,+0.58%,0,2
2025-03-10,1.73,1.73,1.73,1.73,-0.25,-12.63%,0,2
2025-03-07,1.98,1.98,1.98,1.98,0.17,+9.39%,0,2
2025-03-06,1.81,1.81,1.81,1.81,0.03,+1.69%,0,2
2025-03-05,1.78,1.78,1.78,1.78,-0.39,-17.97%,0,2
2025-03-04,2.17,2.17,2.17,2.17,-0.12,-5.24%,0,2
2025-03-03,2.29,2.29,2.29,2.29,-0.31,-11.92%,0,2
2025-02-28,2.6,2.6,2.6,2.6,-0.18,-6.47%,0,2
2025-02-27,2.78,2.78,2.78,2.78,0.39,+16.32%,0,2
2025-02-26,2.39,2.39,2.39,2.39,-0.18,-7.00%,0,2
2025-02-25,2.57,2.57,2.57,2.57,-0.49,-16.01%,0,2
2025-02-24,3.06,3.06,3.06,3.06,-0.06,-1.92%,0,2
2025-02-21,3.12,3.12,3.12,3.12,-0.58,-15.68%,0,2
2025-02-20,3.7,3.7,3.7,3.7,0.16,+4.52%,0,2
2025-02-19,3.54,3.54,3.54,3.54,0.09,+2.61%,0,2
2025-02-18,3.45,3.45,3.45,3.45,0.16,+4.86%,0,2
2025-02-14,3.29,3.29,3.29,3.29,-0.11,-3.24%,0,2
2025-02-13,3.4,3.4,3.4,3.4,-0.15,-4.23%,0,2
2025-02-12,3.55,3.55,3.55,3.55,-0.63,-15.07%,0,2
2025-02-11,4.18,4.18,4.18,4.18,0.51,+13.90%,0,2
2025-02-10,3.67,3.67,3.67,3.67,0.42,+12.92%,0,2
2025-02-07,3.25,3.25,3.25,3.25,0.11,+3.50%,0,2
2025-02-06,3.14,3.14,3.14,3.14,-0.07,-2.18%,0,2
2025-02-05,3.21,3.21,3.21,3.21,-0.5,-13.48%,0,2
2025-02-04,3.71,3.71,3.71,3.71,0.17,+4.80%,0,2
2025-02-03,3.54,3.54,3.54,3.54,-0.08,-2.21%,0,2
2025-01-31,3.62,3.62,3.62,3.62,-0.12,-3.21%,0,2
2025-01-30,3.74,3.74,3.74,3.74,0.03,+0.81%,0,2
2025-01-29,3.71,3.71,3.71,3.71,-0.23,-5.84%,0,2
2025-01-28,3.94,3.94,3.94,3.94,-0.03,-0.76%,0,2
2025-01-27,3.97,3.97,3.97,3.97,-0.52,-11.58%,0,2
2025-01-24,4.49,4.49,4.49,4.49,-0.16,-3.44%,0,2
2025-01-23,5.02,5.02,4.65,4.65,-0.2,-4.12%,1,2
2025-01-22,4.85,4.85,4.85,4.85,0.03,+0.62%,0,1
2025-01-21,4.82,4.82,4.82,4.82,-0.31,-6.04%,0,1
2025-01-17,5.13,5.13,5.13,5.13,-0.1,-1.91%,0,1
2025-01-16,5.23,5.23,5.23,5.23,-0.35,-6.27%,0,1
2025-01-15,5.58,5.58,5.58,5.58,0.38,+7.31%,0,1
2025-01-14,5.2,5.2,5.2,5.2,-0.14,-2.62%,0,1
2025-01-13,5.34,5.34,5.34,5.34,-0.19,-3.44%,0,1
2025-01-10,5.53,5.53,5.53,5.53,0.83,+17.66%,0,1
2025-01-09,4.7,4.7,4.7,4.7,0.07,+1.51%,0,1
2025-01-08,4.63,4.63,4.63,4.63,-0.2,-4.14%,0,1
2025-01-07,4.83,4.83,4.83,4.83,0.1,+2.11%,0,1
2025-01-06,4.73,4.73,4.73,4.73,-0.09,-1.87%,0,1
2025-01-03,4.82,4.82,4.82,4.82,0.19,+4.10%,0,1
2025-01-02,4.63,4.63,4.63,4.63,0.32,+7.42%,0,1
2024-12-31,4.31,4.31,4.31,4.31,0.18,+4.36%,0,1
2024-12-30,4.13,4.13,4.13,4.13,0.07,+1.72%,0,1
2024-12-27,4.06,4.06,4.06,4.06,0.18,+4.64%,0,1
2024-12-26,3.88,3.88,3.88,3.88,-0.19,-4.67%,0,1
2024-12-24,4.07,4.07,4.07,4.07,0.29,+7.67%,0,1
2024-12-23,3.78,3.78,3.78,3.78,-0.04,-1.05%,0,1
