Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
2025-08-22,5.3,5.3,5.3,5.3,-0.17,-3.11%,0,177
2025-08-21,5.47,5.47,5.47,5.47,-0.72,-11.63%,0,177
2025-08-20,6.19,6.19,6.19,6.19,-0.88,-12.45%,0,177
2025-08-19,7.07,7.07,7.07,7.07,0.81,+12.94%,0,177
2025-08-18,6.26,6.26,6.26,6.26,-0.8,-11.33%,0,177
2025-08-15,7.06,7.06,7.06,7.06,0.86,+13.87%,0,177
2025-08-14,6.3,6.3,6.2,6.2,-0.85,-12.06%,1,177
2025-08-13,7.05,7.05,7.05,7.05,0.46,+6.98%,0,177
2025-08-12,6.59,6.59,6.59,6.59,0.44,+7.15%,1,177
2025-08-11,6.25,6.25,6.15,6.15,-0.18,-2.84%,22,177
2025-08-08,6.11,6.33,6.11,6.33,-0.06,-0.94%,1,178
2025-08-07,6.39,6.39,6.39,6.39,0.18,+2.90%,0,179
2025-08-06,6.21,6.21,6.21,6.21,0.5,+8.76%,0,179
2025-08-05,5.68,5.71,5.68,5.71,0.58,+11.31%,2,179
2025-08-04,5.13,5.13,5.13,5.13,0.35,+7.32%,0,179
2025-08-01,3.66,4.78,3.61,4.78,1.21,+33.89%,137,179
2025-07-31,3.3,3.57,3.3,3.57,0.32,+9.85%,54,127
2025-07-30,3.46,3.46,3.16,3.25,-0.23,-6.61%,83,94
2025-07-29,4.21,4.21,3.37,3.48,-1.15,-24.84%,7,71
2025-07-28,4.63,4.63,4.63,4.63,-0.94,-16.88%,0,73
2025-07-25,5.57,5.57,5.57,5.57,0.52,+10.30%,0,73
2025-07-24,5.05,5.05,5.05,5.05,-0.42,-7.68%,0,73
2025-07-23,5.47,5.47,5.47,5.47,-0.05,-0.91%,0,73
2025-07-22,5.52,5.52,5.52,5.52,0.37,+7.18%,1,73
2025-07-21,5.15,5.15,5.15,5.15,-0.1,-1.90%,0,73
2025-07-18,4.72,5.25,4.72,5.25,-0.01,-0.19%,1,73
2025-07-17,5.26,5.26,5.26,5.26,-0.77,-12.77%,0,73
2025-07-16,6.03,6.03,6.03,6.03,0.1,+1.69%,0,73
2025-07-15,5.93,5.93,5.93,5.93,0.14,+2.42%,0,73
2025-07-14,5.7,5.79,5.7,5.79,0.35,+6.43%,1,73
2025-07-11,5.44,5.44,5.44,5.44,-0.75,-12.12%,0,72
