feature,importance
T,105.0
atm_iv_mom_1,79.0
rho_lag_1,56.0
F,53.0
nu,45.0
implied_skew_ma_2,42.0
OVX_Close_mom_1,40.0
iv_vol_ratio,40.0
atm_iv_lag_1,32.0
implied_kurtosis_lag_1,31.0
rho_ma_2,31.0
implied_kurtosis_mom_1,31.0
implied_variance_mom_1,31.0
r,27.0
implied_kurtosis,26.0
OVX_Close_ma_2,25.0
atm_iv_ma_2,24.0
term_structure_interaction,24.0
implied_skew_mom_1,23.0
iv_rmse,22.0
rho_mom_1,22.0
rho,17.0
implied_skew_lag_1,16.0
skew_kurt_interaction,16.0
implied_skew,13.0
vol_momentum,12.0
rho_vol_interaction,10.0
skew_level,4.0
vol_regime_low,1.0
