removed_feature,r2_score,performance_drop
atm_iv_mom_1,-0.7211717665559487,0.01295911826219509
F,-0.7174093543996585,0.00919670610590484
T,-0.7171815520242208,0.008968903730467215
rho_vol_interaction,-0.7151045437286909,0.00689189543493729
rho_lag_1,-0.7145718492297968,0.006359200936043141
iv_vol_ratio,-0.7142983585162661,0.006085710222512475
implied_kurtosis,-0.714041721007292,0.005829072713538386
OVX_Close_ma_2,-0.7137334872737657,0.005520838980012099
term_structure_interaction,-0.7135191964065204,0.005306548112766762
implied_variance_mom_1,-0.7133867142038919,0.005174065910138248
skew_level,-0.7133865534209478,0.005173905127194178
nu,-0.7131211691930197,0.004908520899266078
skew_kurt_interaction,-0.7130481725344433,0.00483552424068967
implied_skew,-0.7129678534574446,0.00475520516369099
rho,-0.7127478138307191,0.004535165536965424
vol_regime_high,-0.7124672932961189,0.004254645002365276
vol_regime_low,-0.7123883034546445,0.004175655160890912
OVX_Close_mom_1,-0.7123156808647597,0.004103032571006082
atm_iv_lag_1,-0.7120626764279925,0.0038500281342388476
r,-0.7119016579082473,0.003689009614493699
implied_skew_mom_1,-0.7116953267062855,0.0034826784125319143
atm_iv_ma_2,-0.7116665240676399,0.003453875773886228
implied_kurtosis_lag_1,-0.7112070582976948,0.0029944100039411836
implied_skew_ma_2,-0.7108933484683164,0.002680700174562789
rho_ma_2,-0.7107641223360832,0.0025514740423295823
rho_mom_1,-0.710382202932766,0.002169554639012361
iv_rmse,-0.7101489464510644,0.0019362981573107785
vol_momentum,-0.7092034582603248,0.0009908099665711934
implied_kurtosis_mom_1,-0.708218203163981,5.554870227353348e-06
implied_skew_lag_1,-0.7078274539382072,-0.00038519435554640324
