date,im_correction_factor
2024-07-18,0.97999936
2024-07-19,0.97993326
2024-07-22,0.97794014
2024-07-23,0.9809789
2024-07-24,0.9714529
2024-07-25,0.9776815
2024-07-26,0.97594965
2024-07-29,0.9805315
2024-07-30,0.98283076
2024-07-31,0.98427695
2024-08-01,0.98532844
2024-08-02,0.9891177
2024-08-05,0.9730654
2024-08-06,0.9712994
2024-08-07,0.97294307
2024-08-08,0.9731608
2024-08-09,0.97070986
2024-08-12,0.97842836
2024-08-13,0.9764454
2024-08-14,0.97677785
2024-08-15,0.972159
2024-08-16,0.9789809
2024-08-19,0.97858757
2024-08-20,0.9769847
2024-08-21,0.9784424
2024-08-22,0.9712679
2024-08-23,0.97120965
2024-08-26,0.97286034
2024-08-27,0.98134583
2024-08-28,0.9831141
2024-08-29,0.98259705
2024-08-30,0.9811767
2024-09-03,0.9797641
2024-09-04,0.9784475
2024-09-05,0.96900576
2024-09-06,0.981917
2024-09-09,0.9795603
2024-09-10,0.9845631
2024-09-11,0.969885
2024-09-12,0.9758348
2024-09-13,0.97937983
2024-09-16,0.9839784
2024-09-17,0.98098826
2024-09-18,0.9784946
2024-09-19,0.97003704
2024-09-20,0.97311854
2024-09-23,0.9771634
2024-09-24,0.97865385
2024-09-25,0.98128444
2024-09-26,0.9800596
2024-09-27,0.97414285
2024-09-30,0.9782499
2024-10-01,0.98308057
2024-10-02,0.9798826
2024-10-03,0.9738973
2024-10-04,0.960186
2024-10-07,0.9788529
2024-10-08,0.97645503
2024-10-09,0.9780594
2024-10-10,0.98288745
2024-10-11,0.9754883
2024-10-14,0.9761961
2024-10-15,0.96403146
2024-10-16,0.97473156
2024-10-17,0.9735186
2024-10-18,0.9787663
2024-10-21,0.9796009
2024-10-22,0.98246396
2024-10-23,0.97846204
2024-10-24,0.9747875
2024-10-25,0.9784929
2024-10-28,0.9646137
2024-10-29,0.97658604
2024-10-30,0.9674458
2024-10-31,0.9819933
2024-11-01,0.97940326
2024-11-04,0.9849089
2024-11-05,0.97106034
2024-11-06,0.9760467
2024-11-07,0.9736576
2024-11-08,0.9697224
2024-11-11,0.9752433
2024-11-12,0.9695153
2024-11-13,0.97521335
2024-11-14,0.96883214
2024-11-15,0.9800944
2024-11-18,0.9774371
2024-11-19,0.97984415
2024-11-20,0.97785616
2024-11-21,0.97813034
2024-11-22,0.97723144
2024-11-25,0.9782429
2024-11-26,0.97549134
